trial_id,scene_id,scene_seed,planner,trial_seed,failure_category,failure_category_cn,message,q_snapshot,ee_x,ee_y,ee_z,ee_error,min_obstacle_distance,min_ground_clearance
0,scene_01_single_box,20260526,apf,13042,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
1,scene_01_single_box,20260526,apf,13043,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
2,scene_01_single_box,20260526,apf,13044,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
3,scene_01_single_box,20260526,apf,13045,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
4,scene_01_single_box,20260526,apf,13046,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
5,scene_01_single_box,20260526,apf,13047,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
6,scene_01_single_box,20260526,apf,13048,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
7,scene_01_single_box,20260526,apf,13049,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
8,scene_01_single_box,20260526,apf,13050,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
9,scene_01_single_box,20260526,apf,13051,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
10,scene_01_single_box,20260526,apf,13052,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
11,scene_01_single_box,20260526,apf,13053,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
12,scene_01_single_box,20260526,apf,13054,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
13,scene_01_single_box,20260526,apf,13055,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
14,scene_01_single_box,20260526,apf,13056,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
15,scene_01_single_box,20260526,apf,13057,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
16,scene_01_single_box,20260526,apf,13058,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
17,scene_01_single_box,20260526,apf,13059,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
18,scene_01_single_box,20260526,apf,13060,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
19,scene_01_single_box,20260526,apf,13061,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
20,scene_01_single_box,20260526,apf,13062,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
21,scene_01_single_box,20260526,apf,13063,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
22,scene_01_single_box,20260526,apf,13064,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
23,scene_01_single_box,20260526,apf,13065,iteration_limit,迭代上限,max iterations reached,"[-3.0962227,-1.4827813,1.1974262,1.0357216,-0.19727183,-0.24138721]",0.32011425824476086,0.24683307106875996,0.6369233209172358,0.26503108580364954,0.20633015178224412,0.0030000000000000304
