trial_id,global_seed,scene_id,scene_seed,ik_method,trial_seed,success,solve_time,iterations,position_error,orientation_error,condition_number,q_solution,message
25,42,scene_00_no_obstacle,20260525,pinv,67,True,0.0007806960020388942,11,0.007952878181465816,0.0,2.5315007392063498,"[-2.9983867,-1.3890968,1.4996946,-1.6391349,-1.9042366,0.016836805]",converged
26,42,scene_00_no_obstacle,20260525,pinv,68,True,0.0007655970002815593,11,0.011763793570301623,0.0,2.5147855180616316,"[-2.9933161,-1.393985,1.5064852,-1.6299401,-1.9270758,0.016140707]",converged
27,42,scene_00_no_obstacle,20260525,pinv,69,True,0.0007765869995637331,11,0.009094540052719846,0.0,2.536693621330771,"[-2.987261,-1.3909312,1.5118822,-1.6615059,-1.9691194,0.020849452]",converged
28,42,scene_00_no_obstacle,20260525,pinv,70,True,0.0007423030001518782,11,0.00882858522543701,0.0,2.53018250443185,"[-2.9969558,-1.3920548,1.5057482,-1.6488394,-1.9113128,-0.029288962]",converged
29,42,scene_00_no_obstacle,20260525,pinv,71,True,0.0009472849997109734,11,0.008585073241105592,0.0,2.529166711395157,"[-2.9945602,-1.3879007,1.4984855,-1.6314247,-1.925619,0.010211477]",converged
30,42,scene_00_no_obstacle,20260525,pinv,72,True,0.0007498799968743697,11,0.006439052754209445,0.0,2.547368848227026,"[-2.991544,-1.3874496,1.5060586,-1.6653711,-1.9492967,-0.019153674]",converged
31,42,scene_00_no_obstacle,20260525,pinv,73,True,0.0008186369996110443,11,0.00672840055674567,0.0,2.5352687583877342,"[-2.9963908,-1.3833871,1.4911001,-1.6247405,-1.9190742,-0.038935733]",converged
32,42,scene_00_no_obstacle,20260525,pinv,74,True,0.000927736000448931,11,0.008505965411455235,0.0,2.533487984530547,"[-2.9902216,-1.3874268,1.5015328,-1.6391668,-1.9522675,-0.0064324337]",converged
33,42,scene_00_no_obstacle,20260525,pinv,75,True,0.001063064999470953,11,0.006809001319606366,0.0,2.5353787500640856,"[-2.9967028,-1.3842477,1.4927942,-1.6285039,-1.9171586,0.00049432823]",converged
34,42,scene_00_no_obstacle,20260525,pinv,76,True,0.0007568190012534615,11,0.007756655114469254,0.0,2.5298144861654976,"[-2.9974537,-1.3858822,1.4939972,-1.6251426,-1.909949,-0.031285886]",converged
35,42,scene_00_no_obstacle,20260525,pinv,77,True,0.0007526240005972795,11,0.009430348098485997,0.0,2.534118627098788,"[-2.9940741,-1.3963027,1.5176917,-1.6756445,-1.9272368,-0.0028685189]",converged
36,42,scene_00_no_obstacle,20260525,pinv,78,True,0.0008402800012845546,11,0.007536109832935873,0.0,2.5360284958207044,"[-2.9968223,-1.3890839,1.5020768,-1.6481686,-1.9143815,-0.0068690868]",converged
37,42,scene_00_no_obstacle,20260525,pinv,79,True,0.0037715190010203514,11,0.00986152901287963,0.0,2.5256299223100496,"[-2.9954068,-1.3931872,1.50697,-1.6449966,-1.9183708,0.0001475831]",converged
38,42,scene_00_no_obstacle,20260525,pinv,80,True,0.0011148329977004323,11,0.009572990676461205,0.0,2.5318698304314378,"[-2.9881648,-1.3905639,1.5075364,-1.6478332,-1.9624864,0.051060892]",converged
39,42,scene_00_no_obstacle,20260525,pinv,81,True,0.000765264001529431,11,0.009602575404052452,0.0,2.521085132778522,"[-2.9955674,-1.3880174,1.4952372,-1.6162726,-1.9173074,0.00089557819]",converged
40,42,scene_00_no_obstacle,20260525,pinv,82,True,0.000814566999906674,11,0.010917396348409786,0.0,2.525018923277275,"[-2.9884081,-1.3932747,1.5113559,-1.6479464,-1.9579832,-0.01518652]",converged
41,42,scene_00_no_obstacle,20260525,pinv,83,True,0.0007522470004914794,11,0.005855573217488523,0.0,2.542281993857193,"[-2.9929204,-1.3811276,1.4909466,-1.6296603,-1.9427732,0.023746766]",converged
42,42,scene_00_no_obstacle,20260525,pinv,84,True,0.000743036998755997,11,0.005735202881600051,0.0,2.5386110453613817,"[-2.9925646,-1.3768105,1.4809034,-1.6046525,-1.9451406,-0.0033955637]",converged
43,42,scene_00_no_obstacle,20260525,pinv,85,True,0.0008896759973140433,11,0.010507359364936618,0.0,2.525519284269699,"[-2.9902546,-1.3926728,1.5079485,-1.6430054,-1.9483,0.0077099003]",converged
44,42,scene_00_no_obstacle,20260525,pinv,86,True,0.000833824000437744,11,0.005711569656824102,0.0,2.5420773665087744,"[-2.9937691,-1.3808307,1.4900499,-1.6282824,-1.9379427,0.010204419]",converged
45,42,scene_00_no_obstacle,20260525,pinv,87,True,0.0007617250012117438,11,0.0089543529639423,0.0,2.525939869708109,"[-2.9897564,-1.3834466,1.4912296,-1.609019,-1.9544546,-0.011889173]",converged
46,42,scene_00_no_obstacle,20260525,pinv,88,True,0.0008308770011353772,11,0.007170157155792343,0.0,2.534751812181239,"[-2.9932452,-1.3829543,1.4911541,-1.621842,-1.9373217,0.018486522]",converged
47,42,scene_00_no_obstacle,20260525,pinv,89,True,0.000765839999075979,11,0.007946509188014346,0.0,2.531747446055898,"[-2.9965007,-1.3878534,1.4985998,-1.6359396,-1.9158323,0.0067353521]",converged
48,42,scene_00_no_obstacle,20260525,pinv,90,True,0.0007402910014207009,11,0.011189324611459965,0.0,2.5188433766106892,"[-2.9884369,-1.3898858,1.5017063,-1.6210182,-1.958169,0.00013607002]",converged
49,42,scene_00_no_obstacle,20260525,pinv,91,True,0.0009693949978100136,11,0.00871301670149783,0.0,2.5283477257419404,"[-2.9949233,-1.3882021,1.4982281,-1.6302541,-1.9229037,-0.004311928]",converged
0,42,scene_00_no_obstacle,20260525,dls,1042,True,0.0006117980010458268,12,0.0049905815200586914,0.0,2.5459919775421387,"[-2.990105,-1.3765605,1.4848507,-1.6181414,-1.9665873,0.017511158]",converged
1,42,scene_00_no_obstacle,20260525,dls,1043,True,0.0005280559998936951,11,0.007669978805808434,0.0,2.5394156854142547,"[-2.9966178,-1.3927085,1.5115059,-1.6702538,-1.921831,0.016765033]",converged
2,42,scene_00_no_obstacle,20260525,dls,1044,True,0.0005490599978656974,11,0.009382888930528577,0.0,2.528782666838513,"[-2.9936286,-1.3919216,1.5071326,-1.6467201,-1.9378157,0.0085676061]",converged
3,42,scene_00_no_obstacle,20260525,dls,1045,True,0.0005310170017764904,11,0.007443882760067323,0.0,2.5332101312768738,"[-2.9966688,-1.3865557,1.4969571,-1.6335975,-1.9224654,-0.007276036]",converged
