trial_id,global_seed,scene_id,scene_seed,planner,trial_seed,success,planning_time,path_length_joint,path_length_task,smoothness,min_obstacle_distance,min_ground_clearance,collision_checks,num_waypoints,final_error,final_orientation_error,q_start,q_goal,target_position,target_quat_wxyz,message,failure_category,failure_category_cn
13,42,scene_00_no_obstacle,20260525,rrt,55,True,0.005912314998568036,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,174,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
14,42,scene_00_no_obstacle,20260525,rrt,56,True,0.005522511000890518,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,169,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
15,42,scene_00_no_obstacle,20260525,rrt,57,True,0.007880555996962357,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,226,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
16,42,scene_00_no_obstacle,20260525,rrt,58,True,0.007043198998871958,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,157,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
17,42,scene_00_no_obstacle,20260525,rrt,59,True,0.005992852002236759,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,174,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
18,42,scene_00_no_obstacle,20260525,rrt,60,True,0.004987991000234615,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,144,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
19,42,scene_00_no_obstacle,20260525,rrt,61,True,0.004907793998427223,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,140,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
20,42,scene_00_no_obstacle,20260525,rrt,62,True,0.006272421000176109,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,180,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
21,42,scene_00_no_obstacle,20260525,rrt,63,True,0.005781857998954365,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,167,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
22,42,scene_00_no_obstacle,20260525,rrt,64,True,0.00833833499928005,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,222,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
23,42,scene_00_no_obstacle,20260525,rrt,65,True,0.004299436001019785,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,130,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
24,42,scene_00_no_obstacle,20260525,rrt,66,True,0.004873846999544185,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,151,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
25,42,scene_00_no_obstacle,20260525,rrt,67,True,0.005169656000362011,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,155,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
26,42,scene_00_no_obstacle,20260525,rrt,68,True,0.006223281001439318,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,187,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
27,42,scene_00_no_obstacle,20260525,rrt,69,True,0.006457603998569539,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,167,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
28,42,scene_00_no_obstacle,20260525,rrt,70,True,0.012183618997369194,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,180,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
29,42,scene_00_no_obstacle,20260525,rrt,71,True,0.005816092998429667,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,176,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
30,42,scene_00_no_obstacle,20260525,rrt,72,True,0.00536277400169638,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,154,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
31,42,scene_00_no_obstacle,20260525,rrt,73,True,0.004604714002198307,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,135,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
