scene_id,ik_method,success_rate,success_ci95,error_mean,error_std,error_p50,error_p90,solve_time_mean,solve_time_std,solve_time_p50,solve_time_p90,iterations_mean,condition_number_mean,condition_number_p50,condition_number_p90,condition_number_max
scene_00_no_obstacle,dls,1.0,0.0,0.008944226949848883,0.0018548784447425656,0.009083244381958,0.01131073369823362,0.0005560455997328461,3.828489768440764e-05,0.0005445424994832001,0.00059733769885493,11.1,2.5279377329883297,2.5274539703116834,2.539669011068622,2.547006659941897
scene_00_no_obstacle,lm,1.0,0.0,0.008890282156693538,0.0015872884855838109,0.00874444680656415,0.0108438138179161,0.00058712439989899,0.0001087673465363637,0.0005500399984156999,0.00066994829976463,11.08,2.5268504637113844,2.5266863500005945,2.5363239903281194,2.5454238952678816
scene_00_no_obstacle,pinv,1.0,0.0,0.008198418795113188,0.001491624892272494,0.00797741049548175,0.0099261120480853,0.0008800648999749159,0.00042746499568001566,0.00077864150080125,0.0009716241980640701,11.0,2.5327532703176288,2.5335885311850257,2.5423867885467692,2.547368848227026
scene_00_no_obstacle,scipy_baseline,1.0,0.0,2.3883246410793217e-09,3.2875732670428057e-09,1.3383212663981296e-09,6.499682259484431e-09,0.006738875559749375,0.001895510388980452,0.00616000499758225,0.00858405300095905,30.72,2.997176327859588,2.78186459041817,3.6901481582510822,4.769638572131929
scene_01_single_box,dls,1.0,0.0,0.008825580530654315,0.0011474690221982282,0.00877649782754645,0.01030539394252764,0.00052980287997338,3.998483882180974e-05,0.00051499000073815,0.00059527450102902,10.0,2.2527954208612275,2.253074762606087,2.2585846092466997,2.266293816134258
scene_01_single_box,lm,1.0,0.0,0.009058092093700518,0.0011907274436359606,0.00882819186954965,0.010756402874135741,0.0005310669999743719,4.7462521599119535e-05,0.0005129370001667999,0.00060397909801394,10.0,2.2503357739634318,2.2515074294859767,2.2576308733597084,2.25948517167188
scene_01_single_box,pinv,1.0,0.0,0.008382265031375923,0.0011452396556935062,0.00846065751637045,0.00968475241989702,0.000816447600227504,0.0002081122512471246,0.0007204730009107,0.0010026048006693401,10.0,2.252977994330446,2.253271007279859,2.2602278727038008,2.261822704377016
scene_01_single_box,scipy_baseline,1.0,0.0,3.0766348951791966e-09,4.1176030989301545e-09,1.2293192724360296e-09,8.572409839033213e-09,0.007031593740030032,0.0012122036835379192,0.007019165501333149,0.00869551509822479,31.44,2.6052445457858044,2.5442514151613005,3.0087286074752413,3.311995138673231
scene_02_multi_obstacles,dls,1.0,0.0,0.00733080702683156,0.0016328929837305317,0.00695727238751445,0.00982337343077432,0.000911304979745128,6.0561590773060705e-05,0.0008909944990591,0.00096952140120256,19.04,2.3766838146550304,2.3766906251787137,2.3860078111646024,2.3951214921300514
scene_02_multi_obstacles,lm,1.0,0.0,0.007643753872875838,0.0012687686891198092,0.00748155139997095,0.00940940377372583,0.000914511279843236,5.626130140086931e-05,0.00088717549988355,0.00098178849730167,19.02,2.3767640840971005,2.3765001567221384,2.3836917170939182,2.3892196635392837
scene_02_multi_obstacles,pinv,1.0,0.0,0.007600848088043012,0.0020576542982598616,0.00739031555167405,0.0102700029035953,0.00126305617966859,9.757097352268605e-05,0.00122899099915225,0.00138194589853804,19.1,2.376343009541439,2.376875513118188,2.392290404082404,2.3963017591258424
scene_02_multi_obstacles,scipy_baseline,0.92,0.07519863828554342,0.003679845704385726,0.012605644619629515,1.369792888673735e-09,2.4740835738825633e-08,0.007289723800058664,0.0018666707370262922,0.0069777149983565,0.00923323280076138,32.74,2.6389901684462336,2.541918555106485,2.92489225290301,3.9615222647200152
scene_03_narrow_passage,dls,1.0,0.0,0.006682651576018283,0.0015616950406157335,0.006268058925876,0.00752105065872826,0.00083000822007302,0.0003155535785343333,0.00070097650132075,0.0013233700989075902,13.92,2.7472342517938726,2.7495017392071217,2.7545464970605127,2.7577274969087635
scene_03_narrow_passage,lm,1.0,0.0,0.006641649534865164,0.0007760085482018454,0.0067237405008905,0.0075884601233222,0.000789069040110876,0.00022690952040205762,0.0007051654993119501,0.00104330829817624,14.0,2.746675747231506,2.7471163380972783,2.7533210999997833,2.756244161132856
scene_03_narrow_passage,pinv,1.0,0.0,0.006099585554152957,0.002205742264258404,0.005244905105059049,0.010393953627679312,0.000951187320097184,0.0001010052723392516,0.0009117270001297,0.00106729599938254,13.86,2.7538378618636172,2.7580138435230337,2.7657315524616752,2.769011726760511
scene_03_narrow_passage,scipy_baseline,1.0,0.0,3.03943939096634e-09,4.4267013869536615e-09,9.387080350282375e-10,9.868750954455956e-09,0.007026851080227016,0.0017038518248501148,0.00678056950164315,0.008448601400596011,29.6,3.031187268445054,2.941114774634527,3.1048389157579472,4.737041614210146
