scene_id,planner,trial_id,max_speed,mean_speed,max_acc,mean_acc,max_jerk,mean_jerk
scene_00_no_obstacle,apf,0,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,1,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,2,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,3,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,4,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,5,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,6,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,7,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,8,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,9,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,10,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,11,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,12,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,apf,13,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
